name;provider;release_date;genres;price;platform;size;is_plus_exclusive
Commander Cherry for PlayStation®Camera;"
Juego PSN
Lanzado 11 Ago 2015












                  4 Calificaciones
                

";;Grupo;8,99 €;PS4;;
Everybody’s Gone to the Rapture™;Sony Interactive Entertainment Europe;;Español;19,99 €;PS4;"
                6.04 GB
              ";
Kung Fury: Street Rage;"
Juego PSN
Lanzado 11 Ago 2015












                  1614 Calificaciones
                

";;Lucha;3,99 €;PS4;;
TorqueL;"
Paquete
Lanzado 11 Ago 2015












                  797 Calificaciones
                

";;Puzzle;10,99 €;PS4, PS Vita;;
Boggle ;UBISOFT ENTERTAINMENT SA;;Puzzle;9,99 €;PS4;;
Never Alone Arctic Collection;"
Paquete
Lanzado 6 Ago 2015












                  391 Calificaciones
                

";;Puzzle;19,99 €;PS4;"
                3 GB
              ";
AeternoBlade;CORECELL TECHNOLOGY;;Acción;14,99 €;PS4;"
                2.07 GB
              ";
GALAK-Z;"
Juego PSN
Lanzado 5 Ago 2015












                  72 Calificaciones
                

";;Shooter;19,99 €;PS4;"
                2.49 GB
              ";
Submerged;"
Juego PSN
Lanzado 5 Ago 2015












                  770 Calificaciones
                

";;Aventura;17,99 €;PS4;"
                1.76 GB
              ";
Sword Art Online Re: Hollow Fragment;BANDAI NAMCO ENTERTAINMENT EUROPE;;Juegos de rol;19,99 €;PS4;"
                9.82 GB
              ";
Abyss Odyssey: Extended Dream Edition;ATLUS USA;;Acción;14,99 €;PS4;"
                1.15 GB
              ";
King's Quest – Chapter 1: A Knight to Remember;Activision Blizzard Int'l BV;;Aventura;Gratis;PS4;"
                7 GB
              ";
King's Quest: The Complete Collection;Activision Blizzard Int'l BV;;Aventura;29,99 €;PS4;"
                7.05 GB
              ";
Arcade Archives Karate Champ;"
Juego PSN
Lanzado 28 Jul 2015












                  86 Calificaciones
                

";;Arcade;6,99 €;PS4;;
A Velocibox Ultimate Bundle;LOOT Interactive;;Único;10,99 €;PS4, PS Vita;;
Legend of Kay Anniversary;THQ NORDIC GMBH;;Aventura;17,99 €;PS4;"
                3.02 GB
              ";
N Plus Plus (N++);"
Juego PSN
Lanzado 28 Jul 2015












                  595 Calificaciones
                

";;Puzzle;14,99 €;PS4;"
                4.2 GB
              ";
Arcade Archives EXERION;"
Juego PSN
Lanzado 22 Jul 2015












                  5 Calificaciones
                

";;Shooter;6,99 €;PS4;;
Hatoful Boyfriend;Devolver Digital;;Único;9,99 €;PS4, PS Vita;"
                4.27 GB
              ";
Lote Prototype® Biohazard;Activision Blizzard Int'l BV;;Acción;31,99 €;PS4;"
                18.53 GB
              ";
Skullgirls 2nd Encore;"
Juego
Lanzado 22 Jul 2015












                  836 Calificaciones
                

";;Acción;24,99 €;PS4, PS Vita;"
                4.85 GB
              ";
Yasai Ninja;"
Juego completo
Lanzado 22 Jul 2015












                  26 Calificaciones
                

";;Acción;2,99 €;PS4;;
Hatoful Boyfriend;Devolver Digital;;Juegos de rol;;PS4;;
TEMBO THE BADASS ELEPHANT ;SEGA EUROPE LTD;;Acción;12,99 €;PS4;"
                1.04 GB
              ";
Velocibox;LOOT Interactive;;;;PS4;;
God of War® III Remasterizado;Sony Interactive Entertainment Europe;;Aventura;34,99 €;PS4;"
                41.72 GB
              ";
The Vanishing of Ethan Carter;"
Juego PSN
Lanzado 15 Jul 2015












                  4278 Calificaciones
                

";;Aventura;18,99 €;PS4;"
                4.91 GB
              ";
Trials Fusion The Awesome MAX Edition;UBISOFT ENTERTAINMENT SA;;Carreras;39,99 €;PS4;"
                5.14 GB
              ";
Arcade Archives DOUBLE DRAGON;"
Juego PSN
Lanzado 14 Jul 2015












                  646 Calificaciones
                

";;Arcade;6,99 €;PS4;;
The Fall;"
Juego PSN
Lanzado 14 Jul 2015












                  540 Calificaciones
                

";;Aventura;9,99 €;PS4;;
F1™ 2015;CODEMASTERS SOFTWARE COMP;;Carreras;;PS4;;
F1™ 2015;CODEMASTERS SOFTWARE COMP;;Carreras;22,39 €;PS4;"
                20.76 GB
              ";
Ender of Fire;"
Juego PSN
Lanzado 8 Jul 2015












                  135 Calificaciones
                

";;Acción;14,99 €;PS4;"
                2.44 GB
              ";
Red Goddess: Inner World;"
Juego PSN
Lanzado 8 Jul 2015












                  70 Calificaciones
                

";;Aventura;8,99 €;PS4;"
                2.89 GB
              ";
Sniper Elite 3;505 GAMES S.R.L.;;Shooter;29,99 €;PS4;"
                19.87 GB
              ";
Arcade Archives Ninja-Kid;"
Juego PSN
Lanzado 7 Jul 2015












                  28 Calificaciones
                

";;Casual;6,99 €;PS4;;
Pneuma: Breath of Life;"
Juego PSN
Lanzado 7 Jul 2015












                  325 Calificaciones
                

";;Puzzle;14,99 €;PS4;"
                2.61 GB
              ";
